customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,st,customer lifetime value,monthly premium auto,number of open complaints,total claim amount,policy type,vehicle class
RB50392,Washington,F,Master,793690.0,0,1000.0,1/0/00,Personal Auto,Four-Door Car,2.0,,,,,,,
QZ44356,Arizona,F,Bachelor,697953.0,0,94.0,1/0/00,Personal Auto,Four-Door Car,1131.0,,,,,,,
AI49188,Nevada,F,Bachelor,1288743.0,48767,108.0,1/0/00,Personal Auto,Two-Door Car,566.0,,,,,,,
WW63253,California,M,Bachelor,764586.0,0,106.0,1/0/00,Corporate Auto,SUV,529.0,,,,,,,
GA49547,Washington,M,High School or Below,536307.0,36357,68.0,1/0/00,Personal Auto,Four-Door Car,17.0,,,,,,,
OC83172,Oregon,F,Bachelor,825629.0,62902,69.0,1/0/00,Personal Auto,Two-Door Car,159.0,,,,,,,
XZ87318,Oregon,F,College,538089.0,55350,67.0,1/0/00,Corporate Auto,Four-Door Car,321.0,,,,,,,
CF85061,Arizona,M,Master,721610.0,0,101.0,1/0/00,Corporate Auto,Four-Door Car,363.0,,,,,,,
DY87989,Oregon,M,Bachelor,2412750.0,14072,71.0,1/0/00,Corporate Auto,Four-Door Car,511.0,,,,,,,
BQ94931,Oregon,F,College,738817.0,28812,93.0,1/0/00,Special Auto,Four-Door Car,425.0,,,,,,,
SX51350,California,M,College,473899.0,0,67.0,1/0/00,Personal Auto,Four-Door Car,482.0,,,,,,,
VQ65197,California,F,College,819719.0,0,110.0,1/0/00,Personal Auto,SUV,528.0,,,,,,,
DP39365,California,F,Master,879879.0,77026,110.0,1/2/00,Corporate Auto,Four-Door Car,472.0,,,,,,,
SJ95423,Arizona,F,High School or Below,881901.0,99845,110.0,1/1/00,Corporate Auto,SUV,528.0,,,,,,,
IL66569,California,F,College,538443.0,83689,70.0,1/2/00,Corporate Auto,Four-Door Car,307.0,,,,,,,
BW63560,Oregon,F,Bachelor,746313.0,24599,64.0,1/1/00,Corporate Auto,Four-Door Car,42.0,,,,,,,
FV94802,Nevada,F,High School or Below,256686.0,25049,67.0,1/0/00,Personal Auto,Two-Door Car,454.0,,,,,,,
OE15005,California,F,College,394524.0,28855,101.0,1/0/00,Personal Auto,SUV,647.0,,,,,,,
WC83389,Oregon,F,College,571033.0,51148,72.0,1/0/00,Personal Auto,Four-Door Car,308.0,,,,,,,
FL50705,California,F,High School or Below,816261.0,66140,101.0,1/0/00,Corporate Auto,Four-Door Car,484.0,,,,,,,
ZK25313,Oregon,F,High School or Below,287205.0,57749,74.0,1/0/00,Personal Auto,Two-Door Car,355.0,,,,,,,
QK46697,Washington,M,Bachelor,617710.0,61040,79.0,1/1/00,Personal Auto,Two-Door Car,20.0,,,,,,,
YH23384,Arizona,F,Bachelor,2412750.0,14072,71.0,1/0/00,Personal Auto,Four-Door Car,511.0,,,,,,,
